The following are the nodes in the knowledge graph:
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:0, Labels: Executive, Name: Mr. Kazunari  Yamaguchi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:225, Labels: Chunk, Name: Adani Enterprises Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:226, Labels: Chunk, Name: Adani Ports and Special Economic Zone Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:227, Labels: Chunk, Name: Apollo Hospitals Enterprise Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:228, Labels: Chunk, Name: Asian Paints Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:229, Labels: Chunk, Name: Axis Bank Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:230, Labels: Chunk, Name: Bajaj Auto Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:231, Labels: Chunk, Name: Bajaj Finserv Ltd.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:232, Labels: Chunk, Name: Bajaj Finance Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:233, Labels: Chunk, Name: Bharat Electronics Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:234, Labels: Chunk, Name: Bharti Airtel Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:235, Labels: Chunk, Name: Bharat Petroleum Corporation Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:236, Labels: Chunk, Name: Britannia Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:237, Labels: Chunk, Name: Cipla Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:238, Labels: Chunk, Name: Coal India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:239, Labels: Chunk, Name: Dr. Reddy's Laboratories Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:240, Labels: Chunk, Name: Eicher Motors Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:241, Labels: Chunk, Name: Grasim Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:242, Labels: Chunk, Name: HCL Technologies Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:243, Labels: Chunk, Name: HDFC Bank Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:244, Labels: Chunk, Name: HDFC Life Insurance Company Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:245, Labels: Chunk, Name: Hero MotoCorp Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:246, Labels: Chunk, Name: Hindalco Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:247, Labels: Chunk, Name: Hindustan Unilever Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:248, Labels: Chunk, Name: ICICI Bank Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:249, Labels: Chunk, Name: IndusInd Bank Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:250, Labels: Chunk, Name: Infosys Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:251, Labels: Chunk, Name: ITC Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:252, Labels: Chunk, Name: JSW Steel Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:253, Labels: Chunk, Name: Kotak Mahindra Bank Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:254, Labels: Chunk, Name: Larsen & Toubro Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:255, Labels: Chunk, Name: Mahindra & Mahindra Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:256, Labels: Chunk, Name: Maruti Suzuki India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:746, Labels: Company, Name: Adani Enterprises Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:747, Labels: Executive, Name: Mr. Gautambhai Shantilal Adani S.Y. B.Com
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:748, Labels: Executive, Name: Mr. Jugeshinder  Singh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:749, Labels: Executive, Name: Mr. Jatinkumar  Jalundhwala B.Com LLB FCS
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:750, Labels: Executive, Name: Mr. Rajeshbhai Shantilal Adani B.Com.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:751, Labels: Executive, Name: Mr. Vinay Prakash Goel
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:752, Labels: Executive, Name: Mr. Pranav Vinodbhai Adani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:753, Labels: Executive, Name: Mr. Sudipta  Bhattacharya
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:754, Labels: Executive, Name: Ms. Varsha  Chainani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:755, Labels: Executive, Name: Dr. Malay Rameshchandra Mahadevia
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:756, Labels: Executive, Name: Mr. Vneet S. Jaain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:757, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:758, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:759, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:760, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:761, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:762, Labels: Company, Name: Adani Ports and Special Economic Zone Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:763, Labels: Executive, Name: Mr. Ashwani  Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:764, Labels: Executive, Name: Mr. D.  Muthukumaran
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:765, Labels: Executive, Name: Mr. Karan Gautam Adani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:766, Labels: Executive, Name: Mr. Charanjit  Singh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:767, Labels: Executive, Name: Mr. Kamlesh  Bhagia
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:768, Labels: Executive, Name: Captain Sandeep M. Mehta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:769, Labels: Executive, Name: Mr. Subrat  Tripathy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:770, Labels: Executive, Name: Mr. Divij  Taneja
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:771, Labels: Executive, Name: Mr. Rajesh Kumar Jha
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:772, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:773, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:774, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:775, Labels: Company, Name: Apollo Hospitals Enterprise Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:776, Labels: Executive, Name: Dr. Prathap Chandra Reddy FCCP, FICA, FRCS, M.D., MBBS
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:777, Labels: Executive, Name: Ms. Suneeta  Reddy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:778, Labels: Executive, Name: Dr. Sangita  Reddy M.D.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:779, Labels: Executive, Name: Dr. P. Preetha Reddy B.Sc., M.D.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:780, Labels: Executive, Name: Mr. Krishnan  Akhileswaran
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:781, Labels: Executive, Name: Mr. S. M. Krishnan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:782, Labels: Executive, Name: Mr. Krishnaswami  Padmanabhan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:783, Labels: Executive, Name: Ms. Sindoori  Reddy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:784, Labels: Executive, Name: Mr. G. Dasaratha Rama Reddy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:785, Labels: Executive, Name: Mr. Binod Madhab Samal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:786, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:787, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:788, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:789, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:790, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:791, Labels: Company, Name: Asian Paints Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:792, Labels: Executive, Name: Mr. Amit  Syngle
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:793, Labels: Executive, Name: Mr. Ramalingam Jeyapandiyan Jeyamurugan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:794, Labels: Executive, Name: Ms. Savitha  Shivsankar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:795, Labels: Executive, Name: Mr. Pragyan  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:796, Labels: Executive, Name: Mr. Rahul  Bhatnagar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:797, Labels: Executive, Name: Mr. Aashish  Kshetry
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:798, Labels: Executive, Name: Harish  Lade
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:799, Labels: Executive, Name: Sameer  Salvi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:800, Labels: Executive, Name: Mr. Shyam  Swamy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:801, Labels: Executive, Name: Hiral Kumar Raja
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:802, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:803, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:804, Labels: Company, Name: Axis Bank Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:805, Labels: Executive, Name: Mr. Amitabh  Chaudhry
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:806, Labels: Executive, Name: Mr. Rajiv Anand Prattipati
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:807, Labels: Executive, Name: Mr. Subrat  Mohanty
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:808, Labels: Executive, Name: Mr. Munish  Sharda
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:809, Labels: Executive, Name: Mr. Amitvikram  Talgeri
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:810, Labels: Executive, Name: Mr. Bimal  Bhattacharyya
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:811, Labels: Executive, Name: Mr. Vineet  Agrawal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:812, Labels: Executive, Name: Mr. Puneet Mahendra Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:813, Labels: Executive, Name: Mr. Anuranjan  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:814, Labels: Executive, Name: Mr. Julius  Samson
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:815, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:816, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:817, Labels: Company, Name: Bajaj Auto Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:818, Labels: Executive, Name: Mr. Rajivnayan Rahulkumar Bajaj
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:819, Labels: Executive, Name: Mr. Pradeep  Shrivastava
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:820, Labels: Executive, Name: Mr. Rakesh  Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:821, Labels: Executive, Name: Mr. Dinesh  Thapar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:822, Labels: Executive, Name: Mr. Ramtilak  Ananthan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:823, Labels: Executive, Name: Anand  Newar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:824, Labels: Executive, Name: Mr. Rajiv  Gandhi C.S
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:825, Labels: Executive, Name: Ms. Deepika  Warrier
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:826, Labels: Executive, Name: Mr. Ravi Kyran Ramasamy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:827, Labels: Executive, Name: Mr. S.  Ravikumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:828, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:829, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:830, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:831, Labels: Company, Name: Bajaj Finserv Ltd.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:832, Labels: Executive, Name: Mr. Sanjivnayan Rahulkumar Bajaj
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:833, Labels: Executive, Name: Mr. Sreenivasan  Sivasubramoniam C.F.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:834, Labels: Executive, Name: Mr. V.  Rajagopalan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:835, Labels: Executive, Name: Ms. Uma Omkar Shende
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:836, Labels: Executive, Name: Ms. Freeda  Dsouza
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:837, Labels: Executive, Name: Mr. Anish Praful Amin
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:838, Labels: Executive, Name: Mr. Tarun  Chugh
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:839, Labels: Executive, Name: Mr. Rakesh  Bhatt BSc, MCA
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:840, Labels: Executive, Name: Mr. Purav A. Jhaveri C.F.A., F.R.M.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:841, Labels: Executive, Name: Mr. Kurush Homi Irani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:842, Labels: Company, Name: Bajaj Finance Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:843, Labels: Executive, Name: Mr. Rajeev A. Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:844, Labels: Executive, Name: Mr. Anup Kumar Saha
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:845, Labels: Executive, Name: Mr. Sandeep Vijay Kumar Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:846, Labels: Executive, Name: Mr. Deepak  Bagati
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:847, Labels: Executive, Name: Mr. Anurag  Chottani
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:848, Labels: Executive, Name: Mr. Deepak Kumar Gupta Reddy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:849, Labels: Executive, Name: Mr. Anupam Krishna Sirbhaiya
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:850, Labels: Executive, Name: Mr. Ramachandran  Vijay
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:851, Labels: Executive, Name: Mr. Babu  Rao
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:852, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:853, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:854, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:855, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:856, Labels: Company, Name: Bharat Electronics Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:857, Labels: Executive, Name: Mr. Manoj  Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:858, Labels: Executive, Name: Mr. Damodar S Bhattad
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:859, Labels: Executive, Name: Mr. Kaipa Venkata Suresh Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:860, Labels: Executive, Name: Mr. Nagarajan  Vikraman
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:861, Labels: Executive, Name: Mr. Bhanu Prakash Srivastava
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:862, Labels: Executive, Name: Mr. S.  Sreenivas
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:863, Labels: Executive, Name: Dr. Binoy Kumar Das
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:864, Labels: Executive, Name: Mr. Nilabhra  Sengupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:865, Labels: Company, Name: Bharti Airtel Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:866, Labels: Executive, Name: Mr. Sunil Bharti Mittal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:867, Labels: Executive, Name: Mr. Gopal Krishna Vittal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:868, Labels: Executive, Name: Mr. Soumen  Ray
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:869, Labels: Executive, Name: Mr. Pankaj  Tewari
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:870, Labels: Executive, Name: Mr. Shashwat  Sharma
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:871, Labels: Executive, Name: Mr. Randeep Singh Sekhon BE
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:872, Labels: Executive, Name: Mr. Naval  Seth
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:873, Labels: Executive, Name: Mr. Rohit Krishan Puri
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:874, Labels: Executive, Name: Vidyut  Gulati
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:875, Labels: Executive, Name: Mr. Kinshuk  Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:876, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:877, Labels: Company, Name: Bharat Petroleum Corporation Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:878, Labels: Executive, Name: Mr. Krishnakumar  Gopalan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:879, Labels: Executive, Name: Mr. Vetsa RamaKrishna Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:880, Labels: Executive, Name: Mr. Sukhmal Kumar Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:881, Labels: Executive, Name: Mr. Sanjay  Khanna
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:882, Labels: Executive, Name: A.R  Chaudhary
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:883, Labels: Executive, Name: Captain M. J. Mohan B.Sc
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:884, Labels: Executive, Name: Ms. V.  Kala
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:885, Labels: Executive, Name: Mr. Raj Kumar Dubey
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:886, Labels: Executive, Name: Mr. R. Ranjan Nair
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:887, Labels: Executive, Name: Mr. Pawan  Pathak
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:888, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:889, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:890, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:891, Labels: Company, Name: Britannia Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:892, Labels: Executive, Name: Mr. Rajneet  Singh Kohli
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:893, Labels: Executive, Name: Mr. Varun  Berry
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:894, Labels: Executive, Name: Mr. N.  Venkataraman
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:895, Labels: Executive, Name: Mr. Ramamurthy  Jayaraman
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:896, Labels: Executive, Name: Mr. Susheel  Navanale
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:897, Labels: Executive, Name: Mr. Tharayil Velayudhan Thulsidass
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:898, Labels: Executive, Name: Mr. Burhan  Khalid
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:899, Labels: Executive, Name: Ms. Dipti  Sudhir
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:900, Labels: Executive, Name: Mr. Sudhir  Nema
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:901, Labels: Executive, Name: Mr. Amit  Doshi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:902, Labels: Company, Name: Cipla Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:903, Labels: Executive, Name: Mr. Umang  Vohra B.E., M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:904, Labels: Executive, Name: Dr. Raju Sunil Mistry M.A., Ph.D.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:905, Labels: Executive, Name: Mr. Pradeep  Bhadauria
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:906, Labels: Executive, Name: Mr. Ashish  Adukia
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:907, Labels: Executive, Name: Mr. Dinesh Ramniranjan Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:908, Labels: Executive, Name: Ms. Sneha  Hiranandani B Com
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:909, Labels: Executive, Name: Ms. Diksha  Maheshwari
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:910, Labels: Executive, Name: Mr. Rajendra Kumar Chopra
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:911, Labels: Executive, Name: Ms. Heena  Kanal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:912, Labels: Executive, Name: Dr. Jaideep A. Gogtay M.D., Ph.D.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:913, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:914, Labels: Company, Name: Coal India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:915, Labels: Executive, Name: Mr. Polavarapu Mallikharjuna Prasad
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:916, Labels: Executive, Name: Mr. Mukesh  Agrawal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:917, Labels: Executive, Name: Dr. Boothukuru Veera Reddy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:918, Labels: Executive, Name: Mr. Vinay  Ranjan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:919, Labels: Executive, Name: Mr. Mukesh  Choudhary
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:920, Labels: Executive, Name: Mr. Debasish  Nanda
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:921, Labels: Executive, Name: S.K.  Bhagat
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:922, Labels: Executive, Name: Mr. Bijay Prakash Dubey
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:923, Labels: Executive, Name: Sanjeev  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:924, Labels: Executive, Name: Kavita  Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:925, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:926, Labels: Company, Name: Dr. Reddy's Laboratories Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:927, Labels: Executive, Name: Mr. Gunupati Venkateswara Prasad B.E.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:928, Labels: Executive, Name: Mr. Kallam Satish Reddy B.Tech., M.S.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:929, Labels: Executive, Name: Mr. Erez  Israeli M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:930, Labels: Executive, Name: Mr. Mannam  Venkatanarasimham
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:931, Labels: Executive, Name: Mr. Krishna K. Venkatesh B.Pharma M.S.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:932, Labels: Executive, Name: Mr. Deepak  Sapra M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:933, Labels: Executive, Name: Mr. Venkata Ramana Motupalli M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:934, Labels: Executive, Name: Ms. Archana  Bhaskar B.Sc., M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:935, Labels: Executive, Name: Mr. Sanjay  Sharma B.Tech.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:936, Labels: Executive, Name: Mr. Patrick  Aghanian B.A., M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:937, Labels: Company, Name: Eicher Motors Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:938, Labels: Executive, Name: Mr. Siddhartha Vikram Lal PGDME
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:939, Labels: Executive, Name: Mr. Govindarajan  Balakrishnan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:940, Labels: Executive, Name: Ms. Vidhya  Srinivasan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:941, Labels: Executive, Name: R.  Anbuselvan BSC. B.TECH
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:942, Labels: Executive, Name: Mr. Atul  Sharma
